-0.36395264,-0.30041504,603.3333 644.5333,603.69727 644.83374
0.09082031,-0.5205078,589.0 613.0,588.9092 613.5205
-0.4545288,-0.024719238,615.0 600.0,615.4545 600.0247
-0.604187,-0.25372314,630.0 630.2222,630.6042 630.47595
-0.26745605,0.1798706,535.0 533.0,535.26746 532.8201
-0.83813477,-0.7825928,503.0 533.5,503.83813 534.2826
0.20339966,-0.13659668,502.90475 510.09525,502.70135 510.23184
-0.38659668,-0.36795044,534.2222 509.0,534.6088 509.36795
-0.680542,-0.6550598,512.0 421.0,512.68054 421.65506
-0.72454834,-0.20501709,456.09525 425.09525,456.8198 425.30026
-0.058410645,-0.293396,452.73334 390.0,452.79175 390.2934
-0.6775818,-0.7590027,507.0 386.0,507.67758 386.759
-0.6090088,-0.5175781,558.5 550.13336,559.109 550.65094
-0.5439453,-0.4602661,490.13333 547.3333,490.67728 547.7936
-0.14385986,-0.68185425,494.90475 496.09525,495.0486 496.7771
-0.15631104,-0.30795288,563.0 499.0,563.1563 499.30795
-0.0041503906,-1.0,800.0 783.0,800.00415 784.0
0.24023438,0.095214844,830.9048 784.0952,830.66455 784.0
-0.48736572,0.0,831.5 827.0,831.98737 827.0
-0.37664795,-0.8518677,800.9259 826.14813,801.30255 827.0
-0.51208496,0.07836914,557.2222 265.0,557.7343 264.92163
-0.25061035,-0.4900818,566.13336 285.86667,566.384 286.35675
-0.3151245,-0.36169434,551.0 298.5,551.3151 298.8617
-0.4121704,-0.6319885,542.0952 276.90475,542.5074 277.53674
-0.64593506,-0.29632568,579.9259 680.37036,580.57184 680.6667
-0.5414429,-0.21514893,559.0952 716.9048,559.63666 717.11993
-0.65618896,-0.33728027,534.0 691.7778,534.6562 692.11505
-0.34490967,-0.040100098,555.0741 656.37036,555.419 656.41046
-0.319458,-0.55877686,575.0 553.0,575.31946 553.5588
0.0,-0.17523193,489.0 554.0,489.0 554.17523
0.0,0.0368042,489.0 491.0,489.0 490.9632
-0.036071777,-0.53759766,573.9048 489.09525,573.94086 489.63284
-0.43417358,-0.09881592,363.0 521.0,363.43417 521.0988
-0.5842285,-0.0024414062,406.0 521.0,406.58423 521.00244
-0.446167,-0.29595947,407.92593 566.62964,408.3721 566.9256
-0.20996094,-0.033935547,364.0 567.0,364.20996 567.03394
-0.09686279,-0.6715088,379.0 443.0,379.09686 443.6715
-0.25402832,-0.68426514,389.0 364.0,389.25403 364.68427
-0.7637329,-0.26037598,444.0 370.0,444.76373 370.26038
-0.81781006,-0.31082153,434.09525 450.90475,434.91306 451.21558
-0.26861572,-0.13128662,505.0 522.0,505.26862 522.1313
-0.7648926,-0.29125977,459.0 520.5,459.7649 520.79126
-0.16177368,-0.5220947,461.07407 486.14816,461.23584 486.67026
-0.2890625,-0.02758789,506.90475 487.90475,507.19382 487.93234
-0.6673584,-0.35443115,575.0 377.0,575.66736 377.35443
-0.928833,-0.28079224,576.26666 444.4,577.1955 444.6808
-0.24591064,-0.9110718,486.09525 445.09525,486.34116 446.00632
-0.43093872,-0.27114868,484.73334 378.0,485.16428 378.27115
-0.416687,-0.416687,512.5833 528.5833,513.0 529.0
-0.79956055,-0.5333252,427.26666 528.4667,428.06622 529.0
-0.8568115,-0.3128357,427.0 464.73334,427.8568 465.04617
-1.0,-0.24255371,512.0 464.73334,513.0 464.9759
-0.040283203,-0.43893433,665.9048 211.90475,665.94507 212.34369
0.045654297,-0.4320221,696.0741 191.37038,696.02844 191.8024
-0.27929688,-0.5274048,724.9048 219.09525,725.1841 219.62265
-0.5042114,-0.51234436,694.37036 240.92592,694.8746 241.43826
-0.53970337,-0.4345703,471.0 437.0,471.5397 437.43457
-0.38885498,-0.32333374,518.0 398.0,518.38885 398.32333
-0.55462646,-0.18710327,558.0 437.77777,558.5546 437.96487
-0.2961731,-0.7479553,510.66666 479.16666,510.96283 479.9146
-0.43414307,-0.06488037,541.44446 738.2222,541.8786 738.2871
-1.2685547,0.25634766,522.0 738.0,523.26855 737.74365
-0.10095215,-0.5048828,522.0952 711.0952,522.19617 711.6001
-0.72595215,-0.28515625,541.3333 711.86664,542.05927 712.1518
-0.2350769,-0.6326904,508.0 578.0,508.23508 578.6327
-0.3416748,-0.3363037,504.37036 494.07407,504.71204 494.41037
-0.626709,-0.5354309,567.0 490.0,567.6267 490.53543
-0.34155273,0.10614014,571.0 574.0,571.34155 573.89386
-0.32144165,-0.46263123,492.0 197.22223,492.32144 197.68486
-0.6381836,-0.6529846,474.0 200.0,474.63818 200.65298
0.1133728,-0.17256165,472.0 179.22223,471.88663 179.39479
-0.5777893,-0.3069458,488.90475 175.90475,489.48254 176.2117
-0.032287598,-0.27542114,438.0 289.5,438.0323 289.77542
0.112091064,-0.16189575,462.90475 286.90475,462.79266 287.06665
-0.47836304,-0.027008057,463.0 312.0,463.47836 312.027
-0.00021362305,-0.58343506,438.0 314.0,438.0002 314.58344
-0.023956299,-0.95376587,498.0 289.0,498.02396 289.95377
-0.15707397,-0.4867401,490.0 249.0,490.15707 249.48674
-0.48181152,-0.6164398,528.9259 243.14815,529.4077 243.76459
-0.71307373,-0.9065857,537.37036 282.92593,538.08344 283.83252
-0.42770386,-0.22650146,499.0 721.0,499.4277 721.2265
-0.503479,-0.2666626,528.0 725.0,528.5035 725.26666
-0.75671387,-0.07574463,525.0 766.0,525.7567 766.07574
-0.1933899,-0.13061523,496.0 762.0,496.1934 762.1306
-0.40496826,0.0284729,526.0952 397.90475,526.5002 397.87628
-0.51116943,-0.5743103,539.0 426.22223,539.51117 426.79654
-0.38946533,-0.14828491,517.5 444.0,517.88947 444.1483
0.14437866,-0.32095337,504.90475 414.90475,504.76038 415.2257
-0.7126465,-0.086883545,569.0 359.0,569.71265 359.08688
-0.65338135,-0.42819214,526.0952 423.90475,526.7486 424.33295
-0.45214844,-0.11904907,471.0 401.0,471.45215 401.11905
-0.28186035,-0.4102173,513.5 339.86667,513.78186 340.2769
-0.095214844,0.05822754,529.9048 699.9048,530.0 699.84656
0.095214844,-0.5710449,530.0952 659.381,530.0 659.952
-0.9594116,-0.09136963,583.0 660.0,583.9594 660.0914
-1.0216675,-0.2732544,583.0 701.0,584.02167 701.27325
-0.7023926,-0.12176514,813.3333 738.3333,814.0357 738.4551
-0.54711914,-0.30322266,808.0952 780.9048,808.64233 781.208
0.19165039,-0.2121582,774.0 772.0,773.80835 772.21216
0.11462402,-0.044189453,779.6667 730.13336,779.55206 730.17755
-0.4576416,-0.07891846,405.09525 404.90475,405.5529 404.98367
0.001739502,-0.75006104,399.90475 359.09525,399.903 359.8453
